ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
USNEME_Rainfed_2002,41.1649,-96.4701,2002,139,2002,286,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,140,2002,31,76,5.1,142,1,soybean5
USNEME_Rainfed_2004,41.1649,-96.4701,2004,153,2004,289,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,154,2004,26,76,5.1,131,1,soybean6
USNEME_Rainfed_2006,41.1649,-96.4701,2006,130,2006,285,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,131,2006,28,76,5.1,150,1,soybean7
USNEME_Rainfed_2008,41.1649,-96.4701,2008,134,2008,286,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,135,2008,31,76,5.1,147,1,soybean7
USNEME_Rainfed_2010,41.1649,-96.4701,2010,138,2010,283,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,139,2010,25,76,5.1,140,1,soybean7
USNEME_Rainfed_2012,41.1649,-96.4701,2012,135,2012,279,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,136,2012,29,76,5.1,139,1,soybean8
USNEME_Rainfed_2014,41.1649,-96.4701,2014,138,2014,285,IBAFlUSNe3,./inst/input_1d/NES30116.txt,1,0,1,0,0,soybean,139,2014,30,76,5.1,142,1,soybean9
USNEME_Irrigated_2002,41.1649,-96.4701,2002,139,2002,284,IBAFlUSNe2,./inst/input_1d/NES20116.txt,1,0,1,0,0,soybean,140,2002,33,76,5.1,140,1,soybean5
USNEME_Irrigated_2004,41.1649,-96.4701,2004,153,2004,296,IBAFlUSNe2,./inst/input_1d/NES20116.txt,1,0,1,0,0,soybean,154,2004,30,76,5.1,138,1,soybean6
USNEME_Irrigated_2006,41.1649,-96.4701,2006,131,2006,282,IBAFlUSNe2,./inst/input_1d/NES20116.txt,1,0,1,0,0,soybean,132,2006,31,76,5.1,146,1,soybean7
USNEME_Irrigated_2008,41.1649,-96.4701,2008,135,2008,287,IBAFlUSNe2,./inst/input_1d/NES20116.txt,1,0,1,0,0,soybean,136,2008,32,76,5.1,147,1,soybean7
USNEME_Irrigated_2014,41.1649,-96.4701,2014,139,2014,287,IBAFlUSNe2,./inst/input_1d/NES20116.txt,1,0,1,0,0,soybean,140,2014,32,76,5.1,143,1,soybean8
ARBAAZ_Irrigated_1999-2000,-36.45,-59.5,1999,313,2000,103,ARGN000001,,1,0,1,0,0,soybean,314,1999,35,35,4,,1,soybean2
ARBAAZ_Rainfed_1999-2000,-36.45,-59.5,1999,313,2000,103,ARGN000001,,1,0,1,0,0,soybean,314,1999,35,35,4,,1,soybean2
ARBAAZ_Irrigated_2000-2001,-36.45,-59.5,2000,313,2001,103,ARGN000001,,1,0,1,0,0,soybean,314,2000,35,35,4,,1,soybean2
ARBAAZ_Rainfed_2000-2001,-36.45,-59.5,2000,313,2001,103,ARGN000001,,1,0,1,0,0,soybean,314,2000,35,35,4,,1,soybean2
ARBAAZ_Irrigated_2002-2003,-36.45,-59.5,2002,325,2003,115,ARGN000001,,1,0,1,0,0,soybean,326,2002,35,30,4,,1,soybean2
ARBAAZ_Rainfed_2002-2003,-36.45,-59.5,2002,325,2003,115,ARGN000001,,1,0,1,0,0,soybean,326,2002,35,30,4,,1,soybean2
BRDFPL_Early_2017-2018,-15.75,-47.75,2017,312,2018,102,BRZL000001,,1,0,1,0,0,soybean,313,2017,40,50,2.5,,1,soybean1
BRDFPL_Late_2017-2018,-15.75,-47.75,2017,332,2018,122,BRZL000001,,1,0,1,0,0,soybean,333,2017,40,50,2.5,,1,soybean1
FROCAZ_Irrigated_2017,43.52,1.508,2017,129,2017,284,FRNC000001,,1,0,1,0,0,soybean,130,2017,45,50,3,,1,soybean10
FROCAZ_Rainfed_2017,43.52,1.508,2017,129,2017,284,FRNC000001,,1,0,1,0,0,soybean,130,2017,42,50,3,,1,soybean10
FROCAZ_Irrigated_2018,43.52,1.508,2018,113,2018,268,FRNC000002,,1,0,1,0,0,soybean,114,2018,42,50,3,,1,soybean10
FROCAZ_Rainfed_2018,43.52,1.508,2018,113,2018,268,FRNC000002,,1,0,1,0,0,soybean,114,2018,46,50,3,,1,soybean10
USAKFV_Season_2012,36.098,-94.179,2012,157,2012,312,AKNS000001,,1,0,1,0,0,soybean,158,2012,28.55,46,2,,1,soybean3
USAKFV_Season_2013,36.098,-94.179,2013,158,2013,313,AKNS000001,,1,0,1,0,0,soybean,159,2013,3.4,46,2.5,,1,soybean3
USAKFV_Season_2014,36.098,-94.179,2014,167,2014,322,AKNS000001,,1,0,1,0,0,soybean,168,2014,33.6,46,3.5,,1,soybean3
USIAAM_Early_2015,42.03,-93.77,2015,120,2015,275,IOWA000001,,1,0,1,0,0,soybean,121,2015,38,76,3.8,,1,soybean4
USIAAM_Late_2015,42.03,-93.77,2015,151,2015,306,IOWA000001,,1,0,1,0,0,soybean,152,2015,37.5,76,5.1,,1,soybean4
USIAAM_Early_2016,42.03,-93.77,2016,126,2016,281,IOWA000001,,1,0,1,0,0,soybean,127,2016,37,76,3.8,,1,soybean4
USIAAM_Late_2016,42.03,-93.77,2016,154,2016,309,IOWA000001,,1,0,1,0,0,soybean,155,2016,36.6,76,3.8,,1,soybean4
