hsoil,hbotton,hcenter,Sand,Silt,Clay,Porosity,FC,WP,SHC,BEXP,,hsoil_I,hmodel_I,Sand_I,Silt_I,Clay_I,Porosity_I,FC_I,WP_I,SHC_I,BEXP_I,SHC_Michel,SHC_ANEXO_Gurric,SHC_Santiago
0.2,0.2,0.1,0.84,0.06,0.1,0.22,0.1,0.05,0.000004,2,,10,5,0.78,0.06,0.16,0.355,0.186,0.064,0.00013,3.2,0.00013,0.000135387,0.00003
0.6,0.8,0.5,0.84,0.06,0.1,0.22,0.1,0.05,0.000004,2,,30,20,0.76,0.06,0.18,0.355,0.186,0.064,0.00013,3.2,0.00013,0.000135387,0.00003
0.7,1.5,1.15,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,60,45,0.76,0.06,0.18,0.322,0.188,0.069,0.00009,3.2,0.00009,0.000160829,0.00016
1,2.5,2,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,110,85,0.74,0.06,0.2,0.317,0.19,0.073,0.00009,3.2,0.00009,0.000140847,0.00002
1,3.5,3,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,170,140,0.7,0.06,0.24,0.323,0.194,0.087,0.00009,3.2,0.00009,8.33E-05,0.00002
1,4.5,4,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,260,215,0.7,0.06,0.24,0.34,0.2035,0.0995,0.00002,3.2,0.00002,2.03E-05,0.00002
1,5.5,5,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,360,310,0.7,0.06,0.24,0.34,0.213,0.12,0.00002,3.2,0.00002,1.83E-05,0.00002
1,6.5,6,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,500,430,0.7,0.06,0.24,0.34,0.201,0.12,0.00002,3.2,0.00002,1.63E-05,0.00002
1,7.5,7,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,700,600,0.7,0.06,0.24,0.34,0.207,0.13,0.00002,3.2,0.00002,1.06E-05,0.00002
1,8.5,8,0.84,0.06,0.1,0.22,0.1,0.05,0.0000065,2,,1000,850,0.7,0.06,0.24,0.34,0.217,0.13,0.00002,3.2,0.00002,1.06E-05,0.00002
1,9.5,9,0.84,0.06,0.1,0.22,0.15,0.1,0.0000065,2,,1500,1250,0.7,0.06,0.24,0.34,0.222,0.13,0.00002,3.2,0.00002,1.06E-05,0.00002
1,10.5,10,0.84,0.06,0.1,0.22,0.15,0.1,0.0000065,2,,,,,,,,,,,,,,
2,12.5,11.5,0.84,0.06,0.1,0.22,0.15,0.1,0.0000065,2,,,,,,,,,,,,,,
4,14.5,12.5,0.84,0.06,0.1,0.22,0.15,0.1,0.0000065,2,,,,,,,,,,,,,,
5,17.5,15,0.84,0.06,0.1,0.22,0.15,0.1,0.0000065,2,,,,,,,,,,,,,,
