hsoil,hbotton,hcenter,Sand,Silt,Clay,Porosity,FC,WP,SHC,BEXP,,WP_original_22_julho
0.2,0.2,0.1,0.76,0.06,0.18,0.322,0.186,0.0608,0.00005,3,,0.064
0.6,0.8,0.5,0.74,0.06,0.2,0.322,0.188,0.06555,0.00005,3,,0.069
0.7,1.5,1.15,0.7,0.06,0.24,0.323,0.194,0.08265,0.00004,3,,0.087
1,2.5,2,0.7,0.06,0.24,0.34,0.2035,0.094525,0.00004,3,,0.0995
1,3.5,3,0.7,0.06,0.24,0.34,0.213,0.114,0.00003,3,,0.12
1,4.5,4,0.7,0.06,0.24,0.34,0.213,0.114,0.00003,3,,0.12
1,5.5,5,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
1,6.5,6,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
1,7.5,7,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
1,8.5,8,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
1,9.5,9,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
1,10.5,10,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
2,12.5,11.5,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
4,14.5,12.5,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
5,17.5,15,0.7,0.06,0.24,0.34,0.213,0.114,0.00001,3,,0.12
